Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
995,SUNS,Financial Services,Asset Management,NASDAQ,108.25,77,73,76,48
996,RICK,Consumer Cyclical,Restaurants,NASDAQ,108.21,77,47,18,9
997,OSBC,Financial Services,Banks—Regional,NASDAQ,108.14,77,71,42,62
998,NDAQ,Financial Services,Financial Data & Stock Exchanges,NASDAQ,108.12,77,79,81,67
999,PNR,Industrials,Specialty Industrial Machinery,NYSE,108.12,77,83,84,54
1000,FSBC,Financial Services,Banks—Regional,NASDAQ,108.11,77,79,82,70
1001,CATY,Financial Services,Banks—Regional,NASDAQ,108.06,77,79,64,60
1002,TCBI,Financial Services,Banks—Regional,NASDAQ,108.03,77,88,69,61
1003,DSGX,Technology,Software—Application,NASDAQ,108.0,77,74,65,82
1004,TDUP,Consumer Cyclical,Internet Retail,NASDAQ,108.0,77,76,1,16
1005,OSIS,Technology,Electronic Components,NASDAQ,107.95,77,76,53,66
1006,RM,Financial Services,Credit Services,NYSE,107.95,77,56,72,49
1007,BTO,Financial Services,Asset Management,NYSE,107.93,77,83,72,64
1008,PPC,Consumer Defensive,Packaged Foods,NASDAQ,107.93,77,88,89,90
1009,CG,Financial Services,Asset Management,NASDAQ,107.92,77,81,71,70
1010,ACR,Real Estate,REITâ€”Mortgage,NYSE,107.88,77,89,89,87
1011,FHB,Financial Services,Banks—Regional,NASDAQ,107.73,77,76,60,66
1012,VALU,Financial Services,Financial Data & Stock Exchanges,NASDAQ,107.72,77,72,32,67
1013,RBA,Industrials,Specialty Business Services,NYSE,107.68,77,76,60,73
1014,EMO,Financial Services,Asset Management,NYSE,107.66,77,81,72,81
1015,GFL,Industrials,Waste Management,NYSE,107.64,77,78,60,69
1016,C,Financial Services,Banks—Diversified,NYSE,107.63,77,74,62,90
1017,SSRM,Basic Materials,Gold,NASDAQ,107.57,77,46,25,7
1018,CSCO,Technology,Communication Equipment,NASDAQ,107.56,77,70,52,31
1019,DDOG,Technology,Software—Application,NASDAQ,107.53,77,78,36,71
1020,MMLP,Energy,Oil & Gas Midstream,NASDAQ,107.53,77,80,82,91
1021,SPFI,Financial Services,Banks—Regional,NASDAQ,107.51,77,80,70,64
1022,PHX,Energy,Oil & Gas E&P,NYSE,107.48,77,61,39,44
1023,RVMD,Healthcare,Biotechnology,NASDAQ,107.48,77,94,92,92
1024,COOP,Financial Services,Mortgage Finance,NASDAQ,107.45,77,73,86,88
1025,LPTX,Healthcare,Biotechnology,NASDAQ,107.44,77,58,66,14
1026,VMI,Industrials,Metal Fabrication,NYSE,107.42,77,86,70,69
1027,RSVR,Communication Services,Entertainment,NASDAQ,107.39,77,78,46,54
1028,ARLP,Energy,Thermal Coal,NASDAQ,107.39,77,82,71,86
1029,ICCH,Financial Services,Insurance—Specialty,NASDAQ,107.39,77,74,83,92
1030,GBLI,Financial Services,Insurance—Property & Casualty,NYSE,107.33,77,62,45,42
1031,MMM,Industrials,Specialty Industrial Machinery,NYSE,107.31,77,81,93,77
1032,CADE,Financial Services,Banks—Regional,NYSE,107.3,77,81,71,80
1033,FSK,Financial Services,Asset Management,NYSE,107.27,77,67,51,69
1034,SFBC,Financial Services,Banks—Regional,NASDAQ,107.16,77,73,89,56
1035,OCUL,Healthcare,Biotechnology,NASDAQ,107.16,77,95,97,93
1036,ESTA,Healthcare,Medical Devices,NASDAQ,107.16,77,61,44,38
1037,NISN,Financial Services,Credit Services,NASDAQ,107.13,77,88,99,96
1038,VBTX,Financial Services,Banks—Regional,NASDAQ,107.1,76,85,77,61
1039,FBIZ,Financial Services,Banks—Regional,NASDAQ,107.09,76,81,75,64
1040,MPB,Financial Services,Banks—Regional,NASDAQ,107.09,76,82,87,52
1041,FPI,Real Estate,REIT—Specialty,NYSE,107.05,76,64,32,52
1042,GOOGL,Communication Services,Internet Content & Information,NASDAQ,107.05,76,57,44,91
1043,EXK,Basic Materials,Silver,NYSE,107.05,76,93,94,97
1044,EQBK,Financial Services,Banks—Regional,NYSE,107.04,76,88,77,83
1045,DPG,Financial Services,Asset Management,NYSE,107.03,76,76,86,72
1046,DRI,Consumer Cyclical,Restaurants,NYSE,107.0,76,56,54,29
1047,NBTB,Financial Services,Banks—Regional,NASDAQ,106.99,76,73,67,73
1048,PRK,Financial Services,Banks—Regional,NYSE MKT,106.98,76,82,82,88
1049,GOOG,Communication Services,Internet Content & Information,NASDAQ,106.95,76,57,44,91
1050,YUMC,Consumer Cyclical,Restaurants,NYSE,106.94,76,71,85,11
1051,PKG,Consumer Cyclical,Packaging & Containers,NYSE,106.94,76,78,76,66
1052,JBL,Technology,Electronic Components,NYSE,106.93,76,63,31,25
1053,IRMD,Healthcare,Medical Devices,NASDAQ,106.9,76,69,58,51
1054,MPLN,Healthcare,Healthcare Plans,NYSE,106.9,76,2,1,0
1055,AGMH,Technology,Softwareâ€”Application,NASDAQ,106.88,76,79,97,1
1056,WAL,Financial Services,Banks—Regional,NYSE,106.88,76,88,92,86
1057,ITCI,Healthcare,Biotechnology,NASDAQ,106.87,76,71,55,82
1058,CINF,Financial Services,Insurance—Property & Casualty,NASDAQ,106.87,76,81,76,67
1059,SCKT,Technology,Computer Hardware,NASDAQ,106.87,76,81,39,38
1060,XNCR,Healthcare,Biotechnology,NASDAQ,106.83,76,77,32,28
1061,SNCY,Industrials,Airlines,NASDAQ,106.81,76,63,10,16
1062,MYRG,Industrials,Engineering & Construction,NASDAQ,106.8,76,78,11,32
1063,GIFI,Energy,Oil & Gas Equipment & Services,NASDAQ,106.77,76,74,51,90
1064,FULT,Financial Services,Banks—Regional,NASDAQ,106.75,76,78,68,85
1065,FFBC,Financial Services,Banks—Regional,NASDAQ,106.75,76,77,62,61
1066,BOH,Financial Services,Banks—Regional,NYSE,106.75,76,79,59,61
